City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,salanso,12.1833,-4.0833,24.78,87,99,3.28,BF,1723250819
263,taltal,-25.4,-70.4833,15.8,61,0,2.36,CL,1723250819
264,huicungo,-7.2833,-76.8,24.81,63,5,1.45,PE,1723250819
265,bisauli,28.3167,78.9333,26.63,88,100,3.19,IN,1723250819
266,east ballina,-28.8667,153.5833,19.33,70,11,3.5,AU,1723250639
267,labasa,-16.4167,179.3833,25.13,65,100,5.23,FJ,1723250820
268,fortaleza,-3.7227,-38.5247,27.82,87,40,5.14,BR,1723250577
269,hermanus,-34.4187,19.2345,13.42,72,76,9.69,ZA,1723250820
270,khandyga,62.6667,135.6,21.6,53,8,1.57,RU,1723250820
271,kampong speu,11.5,104.3333,28.48,75,56,2.97,KH,1723250821
272,el fasher,13.6279,25.3494,26.95,64,100,3.11,SD,1723250821
273,vilyuysk,63.7553,121.6247,18.08,54,52,4.44,RU,1723250821
274,trinidad,-14.8333,-64.9,17.35,37,100,4.54,BO,1723250821
275,bubaque,11.2833,-15.8333,26.19,87,68,8.28,GW,1723250822
276,zhezqazghan,47.7833,67.7667,15.32,77,75,5.0,KZ,1723250822
277,severo-yeniseyskiy,60.3725,93.0408,15.38,88,69,1.02,RU,1723250822
278,zapolyarnyy,69.4154,30.8136,14.6,72,15,2.14,RU,1723250822
279,sol'-iletsk,51.1631,54.9918,16.08,93,72,1.85,RU,1723250823
280,northam,51.0333,-4.2167,17.03,92,100,5.18,GB,1723250823
281,darab,28.7519,54.5444,29.09,58,5,1.64,IR,1723250823
282,hamina,60.5697,27.1979,17.6,84,99,5.79,FI,1723250823
283,rio grande,-32.035,-52.0986,11.06,78,100,8.42,BR,1723250824
284,beyneu,45.3167,55.2,25.3,52,0,3.96,KZ,1723250824
285,mcalester,34.9334,-95.7697,28.09,57,5,1.48,US,1723250824
286,labytnangi,66.6572,66.4183,12.04,77,100,2.53,RU,1723250824
